Model,Method,Cov,GP,CB
GPT-5-mini,BASE,0.34,0.549,0.433
Qwen3-4B,BASE,0.528,0.69,0.491
Qwen3-4B,DAPO,0.859,0.781,0.7
Qwen3-4B,DPO,0.982,0.797,0.7
Qwen3-4B,PARA,0.918,0.763,0.695
Qwen3-4B,SFT,0.922,0.782,0.704
Qwen3-8B,BASE,0.57,0.733,0.58
Qwen3-8B,DAPO,0.919,0.796,0.709
Qwen3-8B,DPO,0.957,0.796,0.714
Qwen3-8B,PARA,0.921,0.785,0.714
Qwen3-8B,SFT,0.921,0.793,0.719
